1000	9306
990	9104
980	9078
970	9018
960	8866
950	8838
940	8716
930	8675
920	8549
910	8319
900	8336
890	8243
880	8110
870	8197
860	7896
850	7851
840	7705
830	7664
820	7540
810	7487
800	7400
790	7309
780	7117
770	7098
760	6943
750	6872
740	6872
730	6774
720	6601
710	6546
700	6513
690	6316
680	6315
670	6282
660	6128
650	6051
640	5928
630	5822
620	5766
610	5656
600	5551
590	5475
580	5407
570	5234
560	5229
550	5101
540	5000
530	4896
520	4764
510	4796
500	4649
490	4560
480	4478
470	4404
460	4242
450	4150
440	4107
430	4011
420	3896
410	3836
400	3729
390	3613
380	3540
370	3456
360	3328
350	3218
340	3169
330	3113
320	2969
310	2883
300	2791
290	2714
280	2598
270	2554
260	2388
250	2370
240	2269
230	2162
220	2074
210	1988
200	1925
190	1771
180	1669
170	1593
160	1533
150	1430
140	1343
130	1222
120	1135
110	1067
100	943
90	875
80	768
70	667
60	604
50	492
40	405
30	313
20	230
10	129
