1000	2080
990	2060
980	2040
970	2020
960	2000
950	1980
940	1960
930	1940
920	1920
910	1900
900	1880
890	1860
880	1840
870	1820
860	1800
850	1780
840	1760
830	1740
820	1720
810	1700
800	1680
790	1660
780	1640
770	1620
760	1600
750	1580
740	1560
730	1540
720	1520
710	1500
700	1480
690	1460
680	1440
670	1420
660	1400
650	1380
640	1360
630	1340
620	1320
610	1300
600	1280
590	1260
580	1240
570	1220
560	1200
550	1180
540	1160
530	1140
520	1120
510	1100
500	1080
490	1060
480	1040
470	1020
460	1000
450	980
440	960
430	940
420	920
410	900
400	880
390	860
380	840
370	820
360	800
350	780
340	760
330	740
320	720
310	700
300	680
290	660
280	640
270	620
260	600
250	580
240	560
230	540
220	520
210	500
200	480
190	460
180	440
170	420
160	400
150	380
140	360
130	340
120	320
110	300
100	280
90	260
80	240
70	220
60	200
50	180
40	160
30	140
20	120
10	100
