100	41253
99	40451
98	39615
97	38838
96	38082
95	37298
94	36546
93	35767
92	35015
91	34271
90	33555
89	32819
88	32066
87	31358
86	30664
85	29973
84	29267
83	28597
82	27926
81	27228
80	26600
79	25935
78	25309
77	24665
76	24052
75	23439
74	22816
73	22232
72	21629
71	21046
70	20461
69	19903
68	19336
67	18790
66	18243
65	17697
64	17169
63	16635
62	16105
61	15639
60	15137
59	14643
58	14162
57	13696
56	13241
55	12742
54	12318
53	11868
52	11477
51	11037
50	10601
49	10194
48	9779
47	9395
46	9026
45	8643
44	8271
43	7905
42	7539
41	7200
40	6858
39	6558
38	6219
37	5919
36	5600
35	5314
34	5030
33	4751
32	4469
31	4210
30	3951
29	3703
28	3461
27	3228
26	3018
25	2785
24	2574
23	2371
22	2180
21	1998
20	1824
19	1657
18	1492
17	1349
16	1199
15	1057
14	925
13	815
12	705
11	598
10	502
9	408
8	331
7	257
6	204
5	147
4	97
3	59
2	27
