100	50793
99	49790
98	48797
97	47814
96	46841
95	45878
94	44925
93	43982
92	43049
91	42126
90	41213
89	40310
88	39417
87	38534
86	37661
85	36798
84	35945
83	35102
82	34269
81	33446
80	32633
79	31830
78	31037
77	30254
76	29481
75	28718
74	27965
73	27222
72	26489
71	25766
70	25053
69	24350
68	23657
67	22974
66	22301
65	21638
64	20985
63	20342
62	19709
61	19086
60	18473
59	17870
58	17277
57	16694
56	16121
55	15558
54	15005
53	14462
52	13929
51	13406
50	12893
49	12390
48	11897
47	11414
46	10941
45	10478
44	10025
43	9582
42	9149
41	8726
40	8313
39	7910
38	7517
37	7134
36	6761
35	6398
34	6045
33	5702
32	5369
31	5046
30	4733
29	4430
28	4137
27	3854
26	3581
25	3318
24	3065
23	2822
22	2589
21	2366
20	2153
19	1950
18	1757
17	1574
16	1401
15	1238
14	1085
13	942
12	809
11	686
10	573
9	470
8	377
7	294
6	221
5	158
4	105
3	62
2	29
